Name,Calories,Protein,Carbs,Fat,Sat Fat,Fiber,Measurement
Raw Cauliflower,0.25,0.02,0.053,0.001,0,0.025,gram
Cooked Cauliflower,0.225806452,0.017741935,0.040322581,0.00483871,0,0.022580645,gram
Zucchini Raw,0.161290323,0.012096774,0.033870968,0.001612903,0,0.011290323,gram
Cooked Broccoli,0.346153846,0.024358974,0.071794872,0.003846154,0.001282051,0.033333333,gram
Cooked Kale,0.276923077,0.019230769,0.056153846,0.003846154,0.000769231,0.02,gram
Romaine Lettuce,0.185414091,0.012360939,0.037082818,0,0,0.024721879,gram
Raw Kale,0.507462687,0.032835821,0.1,0.007462687,0.001492537,0.019402985,gram
"Yellow Squash, Raw",0.192307692,0.009230769,0.040769231,0.002307692,0.000769231,0,gram
"Yellow Squash, Cooked",0.2,0.008888889,0.043333333,0.003333333,0.000555556,0.013888889,gram
Zucchini Cooked,0.155555556,0.006666667,0.038888889,0,0,0.014444444,gram
Beets,0.435294118,0.016470588,0.1,0.002352941,0,0.02,gram
Cucumber,0.153846154,0.005769231,0.036538462,0.001923077,0,0.005769231,gram
Red Potatoes,0.89017341,0.023121387,0.195953757,0.001734104,0,0.017919075,gram
Raw Onion,0.4,0.01,0.09,0,0,0.02,gram
Carrots,0.40625,0.009375,0.09609375,0.00234375,0,0.028125,gram
Cooked Eggplant,0.353535354,0.008080808,0.086868687,0.002020202,0,0.025252525,gram
Sweet Potato,0.903508772,0.020175439,0.207017544,0.001754386,0,0.033333333,gram
Potatoes,0.871794872,0.019230769,0.201282051,0.001282051,0,0.017948718,gram
Butternut Squash,0.4,0.008780488,0.104878049,0.00097561,0,0,gram
Acorn Squash,0.56097561,0.011219512,0.145853659,0.001463415,0.000487805,0.043902439,gram
Yams,1.161764706,0.014705882,0.275,0.001470588,0,0.038970588,gram
Red Lettuce,0.178571429,0,0.035714286,0,0,0,gram
Almonds,5.759717314,0.212014134,0.215547703,0.494699647,0.038869258,0.123674912,gram
Peanuts,5.865724382,0.236749117,0.215547703,0.498233216,0.070671378,0.081272085,gram
Walnuts,6.535714286,0.153571429,0.135714286,0.653571429,0.060714286,0.067857143,gram
Pecans,6.925795053,0.091872792,0.137809187,0.720848057,0.060070671,0.09540636,gram
Catfish,1.35,0.155625,0,0.075625,0.01375,0,gram
Sardines,130,17,0,7,1.5,0,Container
Almond Oil,120,0,0,14,1,0,Tbsp
Olive Oil,120,0,0,14,2,0,Tbsp
Grapeseed Oil,120,0,0,14,1,0,Tbsp
Wholegrain Tortilla,80,8,18,3,0,12,Item
Cliff Builders Bar,270,20,30,8,5,4,Item
Halibut,1.402515723,0.266666667,0,0.029559748,0.004402516,0,Gram
Cabo Loco Tortilla,150,5,25,3.5,1,1,Item
Mackerel,2.625,0.238636364,0,0.178409091,0.042045455,0,Gram
Mushroom,0.263888889,0.025,0.041666667,0.001388889,0,0.005555556,Gram
Bok Choy,0.117647059,0.015294118,0.022352941,0,0,0.009411765,Gram
Nappa Cabbage,0.119266055,0.011009174,0.022018349,0.001834862,0,0,Gram
Chinese Broccoli,0.215909091,0.011363636,0.038636364,0.006818182,0.001136364,0.025,Gram
"Beef, Top Round",1.988235294,0.361176471,0,0.049411765,0.017647059,0,Gram
Pork Sirloin,1.976470588,0.288235294,0,0.082352941,0.029411765,0,Gram
75% Ground Beef,2.541176471,0.245882353,0,0.164705882,0.063529412,0,Gram
Chobani Nonfat,0.572687225,0.0969163,0.04845815,0,0,0,Gram
Ribeye Steak,2.48,0.3,0,0.136,0.057,0,Gram
Nonfat Cottage Cheese,0.707964602,0.132743363,0.044247788,0,0,0,Gram
85% Ground Beef,2.564705882,0.277647059,0,0.152941176,0.057647059,0,Gram
Red Cabbage,0.314606742,0.014606742,0.074157303,0.001123596,0,0.021348315,Gram
Nancy's Nonfat Greek Yogurt,0.705882353,0.129411765,0.047058824,0,0,0,Container
Chard,0.194444444,0.016666667,0.036111111,0.002777778,0,0.016666667,Gram
Orange Pepper,0.168918919,0.006756757,0.040540541,0,0,0.013513514,Gram
Flax Seed,5.185185185,0.222222222,0.333333333,0.333333333,0.037037037,0.333333333,Gram
Lentils,1.141414141,0.09040404,0.195454545,0.004040404,0.000505051,0.078787879,Gram
Peas,0.8375,0.05375,0.15625,0.0025,0.000625,0.055,Gram
Tofurky,240,26,8,1,0,1,Item
Rainier Ezekiel Bread,90,4,16,0.5,0,6,Item
2% Milk,120,8,13.5,5,3,0,Cup
Killer Dave's Rye,120,5,24,2,0,4,Item
Balsamic Vinegar,45,0,3,0,0,0,Tbsp
Cashews,6,0.175,0.275,0.475,0.0875,0.025,Gram
Chickpeas,1.640243902,0.088414634,0.274390244,0.025609756,0.002439024,0.076219512,Gram
Kroger Mozzarella,2.857142857,0.285714286,0.035714286,0.178571429,0.107142857,0,Gram
Italian Sausage,300,16,3.5,23,8,0,Item
Wholesome Harvest Whole Wheat,2.280701754,0.105263158,0.403508772,0.035087719,0,0.070175439,Gram
Insernio's Hot Italian Chicken Sausage,110,18,0,3.5,1,0,Item
BelGioioso Mozzerella,2.5,0.178571429,0,0.178571429,0.107142857,0,Gram
La Brea Whole Greain Loaf,2.807017544,0.087719298,0.543859649,0.035087719,0,0.052631579,Gram
Bottom Round Beef w/ fat,2.094117647,0.316470588,0,0.082352941,0.028235294,0,Gram
Oroweat Dark Rye,2.5,0.071428571,0.464285714,0.035714286,0,0.035714286,Gram
Tillamook Chedder Slice,110,7,0,9,6,0,Item
Whole Milk,150,8,12,8,5,0,Cup
Seattle Sourdough Baking Company Rye,2.653061224,0.081632653,0.510204082,0.020408163,0,0.020408163,Gram
Simple Truth Organic 24 Grains and Seeds,2.444444444,0.111111111,0.422222222,0.066666667,0,0.088888889,Gram
Macadamia Nuts,7.142857143,0.071428571,0.142857143,0.75,0.125,0.071428571,Gram
Steelhead Trout,1.35,0.19,0,0.06,0.01,0,Gram
Korean Sweet Potato,1.32,0.02,0.2,0,0,0.03,Gram
Bread Machine Rye,3,0.1,0.6,0.1,,,Gram
Machine Pumpernickel,2.659737418,0.148249453,0.490919037,0.021006565,0.002954048,0.05536105,Gram
"Pork, Top Loin",2.247058824,0.304705882,0,0.104705882,0.036470588,0,Gram
"Turkey Breast, Roasted",1.344827586,0.301149425,0,0.006896552,0.002298851,0,Gram
Peanut Butter,100,4,3,8,1.25,1,Tbsp
Schwartz Bros Sourdough Rolls,170,7,32,1,0,2,Item
Schwartz Bros whole wheat sliders,80,4,16,1,0,3,Item
Pork Shoulder,2.36,0.1718,0,0.1799,0.0624,0,Oz
Isernio's Hot Italian Sausage,210,17,0.5,16,6,0,Item
96% Ground Beef,1.25,0.214285714,0,0.040178571,0.017857143,0,Gram
90% Ground Beef,1.752941176,0.2,0,0.052941176,0.04,0,Gram
93% Ground Beef,1.504424779,0.212389381,0,0.07079646,0.026548673,0,Gram
95% Ground Pork,1.752212389,0.203539823,0,0.088495575,0.017699115,0,Gram
Tamale,284,12,34,11,4.5,6,Item
Pork Ribs,3.6,0.208571429,0,0.314285714,0.091428571,0,Gram
Pork Bulgogi,1.778378378,0.145945946,0.064864865,0.108108108,0.108108108,0,Gram
